date,equity
2024-08-24,9822.585147995082
2024-08-25,9845.078696179105
2024-08-26,9633.623993172176
2024-08-27,9116.201787335762
2024-08-28,9159.703010740875
2024-08-29,9212.904397050854
2024-08-30,9147.120039203324
2024-08-31,9169.148396108707
2024-09-01,9411.320530708694
2024-09-02,9122.072434525398
2024-09-03,8875.340237096745
2024-09-04,8954.653954558577
2024-09-05,8688.905540767411
2024-09-06,8364.361961995994
2024-09-07,8392.379011657897
2024-09-08,8495.370715667807
2024-09-09,8814.959623163677
2024-09-10,8907.283078471539
2024-09-11,8862.449149985794
2024-09-12,8977.467567635633
2024-09-13,9309.525122934401
2024-09-14,9226.780337830061
2024-09-15,9106.606813327922
2024-09-16,8936.367255166697
2024-09-17,8601.56996797469
2024-09-18,8783.455835768065
2024-09-19,8958.51142122988
2024-09-20,8992.758190897439
2024-09-21,9020.134945729376
2024-09-22,9054.56501468234
2024-09-23,9011.314329827685
2024-09-24,9143.160022472344
2024-09-25,8985.99995683991
2024-09-26,9262.37713602604
2024-09-27,9345.057298378062
2024-09-28,9358.21034652264
2024-09-29,9323.987416357515
2024-09-30,9011.27353779018
2024-10-01,8648.525278950288
2024-10-02,8676.158935478488
2024-10-03,8659.026184714252
2024-10-04,8482.028811660404
2024-10-05,8478.988004751456
2024-10-06,8380.34545488487
2024-10-07,8459.136340248366
2024-10-08,8473.30228253356
2024-10-09,8683.01700425019
2024-10-10,8724.639006831807
2024-10-11,8430.9334243701
2024-10-12,8329.729471708317
2024-10-13,8375.958405111835
2024-10-14,7918.963861019981
2024-10-15,8032.4030204248165
2024-10-16,8097.572774480424
2024-10-17,8073.301793037387
2024-10-18,8189.473653497939
2024-10-19,8183.0828027564885
2024-10-20,8255.932266232694
2024-10-21,8069.655222593415
2024-10-22,8068.920386097011
2024-10-23,7962.9801217991135
2024-10-24,8160.089100750836
2024-10-25,7986.947370823637
2024-10-26,8029.391526855918
2024-10-27,8133.6661617619675
2024-10-28,8359.232463408967
2024-10-29,8679.915110439564
2024-10-30,8636.482265303031
2024-10-31,8394.282828221068
2024-11-01,8310.744833888082
2024-11-02,8288.718443924969
2024-11-03,8202.763085191873
2024-11-04,8308.348589430936
2024-11-05,8132.519752970104
2024-11-06,7419.289183793999
2024-11-07,7389.101614635138
2024-11-08,7316.339989606994
2024-11-09,7289.831364061673
2024-11-10,6870.11500898494
2024-11-11,5935.654457668605
2024-11-12,6020.348247378677
2024-11-13,5721.8187440116435
